Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
0	fg3_m12_iso1_rotated	0	0.05	0	88.47	0.02	0.05	9.11	0.7	0.31	6.51	20.63	0.43	0.64	1256	15.03	0.07	79.77	-0.04	-1.14	58.61	16.99	0.27	2.01	0.04	0.27	0.59
1	fg3_m12_iso1_rotated	0	0.05	1	88.4	0.02	0.05	7.99	0.8	0.52	2.15	11.17	0.43	0.48	1749	18.8	-0.99	99.0	-0.02	-1.06	52.28	20.1	0.08	0.22	0.02	0.08	1.02
2	fg3_m12_iso1_rotated	0	0.05	2	88.73	0.02	0.04	9.35	0.81	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.4
3	fg3_m12_iso1_rotated	0	0.05	3	88.15	0.02	0.05	6.59	0.8	0.52	1.69	10.12	0.43	0.48	1741	19.06	-0.3	98.79	-0.03	-1.08	50.88	21.47	-0.24	0.13	0.03	0.24	1.91
4	fg3_m12_iso1_rotated	0	0.05	4	10.87	0.38	0.05	8.47	0.26	0.02	23.69	29.58	0.68	0.88	764	13.45	-1.47	20.21	-0.13	-0.75	56.94	15.97	0.07	1.84	0.13	0.07	-0.98
5	fg3_m12_iso1_rotated	0	0.05	5	81.09	0.1	0.07	7.26	0.28	0.05	14.24	18.55	0.68	1.07	764	13.59	-8.34	20.49	0.11	-0.87	58.62	16.35	-0.39	1.13	0.11	0.39	1.61
6	fg3_m12_iso1_rotated	0	0.05	6	45.84	0.19	0.06	6.24	0.26	0.05	22.35	30.51	0.68	1.16	764	13.76	3.28	19.82	-0.17	-0.65	57.03	16.23	-0.2	0.93	0.17	0.2	0.09
7	fg3_m12_iso1_rotated	0	0.1	0	85.59	0.03	0.04	10.17	0.72	0.28	6.61	22.04	0.3	0.64	1256	16.23	3.89	81.74	-0.08	-1.15	58.23	17.73	-0.18	0.66	0.08	0.18	-0.59
8	fg3_m12_iso1_rotated	0	0.1	1	88.29	0.02	0.04	9.32	0.8	0.51	8.89	26.0	1.25	1.07	1720	18.15	-0.25	102.41	-0.03	-1.08	53.17	18.73	0.12	0.16	0.03	0.12	-1.25
9	fg3_m12_iso1_rotated	0	0.1	2	45.0	0.09	0.05	24.54	0.8	0.51	8.85	11.7	0.61	0.77	1703	18.37	8.88	102.31	-0.12	-1.06	51.69	21.09	-0.08	-0.17	0.12	0.08	-0.01
10	fg3_m12_iso1_rotated	0	0.1	3	87.87	0.02	0.04	10.87	0.79	0.49	7.82	23.39	0.61	1.07	1256	17.96	-23.91	92.29	0.16	-0.91	55.89	19.01	-0.01	0.03	0.16	0.01	0.85
11	fg3_m12_iso1_rotated	0	0.1	4	79.97	0.07	0.05	6.13	0.31	-0.02	23.23	31.48	0.3	0.77	764	13.99	-4.67	20.6	-0.0	-0.89	54.87	15.7	-0.11	1.7	0.0	0.11	0.66
12	fg3_m12_iso1_rotated	0	0.1	5	51.02	0.11	0.06	8.02	0.29	0.03	31.57	43.58	0.0	0.64	764	14.12	-3.2	20.59	-0.05	-0.97	55.9	15.35	-0.1	0.73	0.05	0.1	0.9
13	fg3_m12_iso1_rotated	0	0.1	6	80.69	0.08	0.05	6.53	0.3	0.03	25.68	23.48	0.0	0.48	764	13.93	-3.83	20.83	-0.09	-0.71	55.27	14.9	-0.3	0.97	0.09	0.3	1.48
